epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.9496,1.92394,1.96038,1.05674,0.29299,0.2404,0.19015,0.09021,1.87297,1.31178,0.98742,0.00199458,0.00199458,0.0820488
2,116.725,1.83442,1.4277,0.99066,0.3303,0.27757,0.22664,0.11866,1.62468,1.22438,0.93476,0.0039936,0.0039936,0.0640478
3,171.24,1.83302,1.39606,0.9859,0.3752,0.27206,0.23488,0.11818,1.67826,1.22255,0.93941,0.00598872,0.00598872,0.0460429
4,225.494,1.83634,1.39611,0.98557,0.35783,0.28722,0.24194,0.12316,1.67362,1.25639,0.94365,0.00797702,0.00797702,0.0280312
5,277.609,1.86423,1.40277,0.99,0.34753,0.27713,0.23471,0.11864,1.69042,1.2207,0.94641,0.00995557,0.00995557,0.0100098
6,330.367,1.86983,1.41772,0.98974,0.35135,0.27612,0.22646,0.11509,1.68794,1.26849,0.94668,0.00993906,0.00993906,0.00993906
7,383.049,1.86067,1.38882,0.98715,0.33516,0.28549,0.22948,0.11621,1.67942,1.24159,0.945,0.00991232,0.00991232,0.00991232
8,435.891,1.82421,1.35072,0.98303,0.37995,0.29896,0.25379,0.13422,1.58531,1.17901,0.9291,0.00988079,0.00988079,0.00988079
9,487.144,1.80894,1.34065,0.97631,0.3737,0.29957,0.25969,0.13465,1.60562,1.18635,0.9334,0.00984449,0.00984449,0.00984449
10,540.314,1.79072,1.31387,0.97325,0.39336,0.30619,0.26453,0.13496,1.65335,1.1857,0.93557,0.00980345,0.00980345,0.00980345
11,593.398,1.77243,1.30002,0.96566,0.40603,0.32157,0.28014,0.1471,1.58699,1.15244,0.92524,0.00975773,0.00975773,0.00975773
12,646.167,1.7649,1.28318,0.9647,0.4109,0.32601,0.28884,0.14809,1.59995,1.1387,0.92869,0.00970736,0.00970736,0.00970736
13,699.894,1.74967,1.26181,0.9628,0.39454,0.32153,0.28314,0.14928,1.56101,1.12576,0.91962,0.00965239,0.00965239,0.00965239
14,752.24,1.73581,1.24739,0.95463,0.39816,0.32129,0.27803,0.1483,1.54208,1.12842,0.91963,0.00959289,0.00959289,0.00959289
15,805.656,1.73585,1.24794,0.95596,0.42346,0.33201,0.29436,0.15818,1.52095,1.11019,0.91564,0.00952889,0.00952889,0.00952889
16,858.72,1.72542,1.23713,0.9561,0.41849,0.33655,0.30466,0.164,1.48875,1.09128,0.91079,0.00946048,0.00946048,0.00946048
17,912.131,1.71387,1.22106,0.95167,0.42016,0.33522,0.30086,0.16312,1.48684,1.08134,0.91033,0.00938772,0.00938772,0.00938772
18,965.591,1.70766,1.20897,0.94667,0.44305,0.33011,0.3043,0.1629,1.52235,1.1011,0.91541,0.00931067,0.00931067,0.00931067
19,1018.46,1.69145,1.19789,0.94841,0.42938,0.3297,0.30827,0.16628,1.47549,1.07844,0.90479,0.00922942,0.00922942,0.00922942
20,1071.13,1.68371,1.18926,0.94589,0.4505,0.33502,0.31494,0.16722,1.52186,1.07786,0.91478,0.00914405,0.00914405,0.00914405
21,1124.94,1.6898,1.18937,0.94509,0.43957,0.33525,0.31142,0.16936,1.47519,1.07533,0.90742,0.00905463,0.00905463,0.00905463
22,1178.44,1.68558,1.19012,0.94436,0.4527,0.33791,0.31679,0.17114,1.49618,1.06579,0.90657,0.00896127,0.00896127,0.00896127
23,1231.76,1.67137,1.17314,0.9389,0.44244,0.34518,0.31668,0.17042,1.49278,1.06175,0.90807,0.00886404,0.00886404,0.00886404
24,1284.68,1.68202,1.17264,0.93906,0.45015,0.35018,0.32403,0.17442,1.47884,1.06184,0.90462,0.00876305,0.00876305,0.00876305
25,1338.79,1.68171,1.17477,0.93904,0.45594,0.3482,0.3259,0.17565,1.48164,1.04566,0.9051,0.00865839,0.00865839,0.00865839
26,1392.33,1.66623,1.16133,0.93675,0.45954,0.35599,0.33377,0.18181,1.45094,1.03664,0.89986,0.00855018,0.00855018,0.00855018
27,1442.87,1.64777,1.14571,0.93532,0.46389,0.35336,0.33094,0.18162,1.45374,1.02961,0.89958,0.00843851,0.00843851,0.00843851
28,1495.96,1.65308,1.15056,0.93631,0.44416,0.35073,0.32718,0.17863,1.46945,1.03806,0.9008,0.00832349,0.00832349,0.00832349
29,1549.68,1.65139,1.15156,0.9336,0.45134,0.35955,0.33515,0.18501,1.44252,1.03172,0.89745,0.00820525,0.00820525,0.00820525
30,1603.04,1.6466,1.13852,0.93354,0.45687,0.3651,0.34014,0.18477,1.44267,1.02227,0.89716,0.00808389,0.00808389,0.00808389
31,1656.4,1.64098,1.13748,0.93069,0.46364,0.36392,0.33977,0.18267,1.4882,1.03746,0.90296,0.00795954,0.00795954,0.00795954
32,1710.71,1.63617,1.12877,0.9298,0.45619,0.36998,0.34772,0.18894,1.45354,1.01714,0.89658,0.00783231,0.00783231,0.00783231
33,1764.83,1.64583,1.13753,0.92987,0.46804,0.3642,0.34145,0.18676,1.42283,1.01436,0.89489,0.00770234,0.00770234,0.00770234
34,1818,1.62825,1.1151,0.92693,0.4786,0.35896,0.34311,0.18827,1.43456,1.01537,0.89527,0.00756976,0.00756976,0.00756976
35,1871.72,1.62883,1.12087,0.92591,0.46834,0.36631,0.34089,0.18612,1.4366,1.02309,0.89584,0.00743468,0.00743468,0.00743468
36,1924.89,1.6192,1.1087,0.9273,0.47267,0.36848,0.34752,0.19201,1.42462,0.99863,0.89187,0.00729725,0.00729725,0.00729725
37,1978.33,1.60379,1.09498,0.92133,0.46487,0.36839,0.34405,0.18846,1.43522,1.00697,0.89523,0.00715761,0.00715761,0.00715761
38,2031.45,1.60729,1.10397,0.92709,0.47985,0.37588,0.35329,0.1919,1.44907,0.99703,0.89521,0.00701588,0.00701588,0.00701588
39,2084.94,1.61336,1.09745,0.92444,0.48108,0.36774,0.35143,0.1945,1.40665,0.99429,0.89003,0.00687222,0.00687222,0.00687222
40,2138.41,1.61618,1.10247,0.92163,0.47877,0.37193,0.35561,0.19782,1.40504,0.98444,0.88816,0.00672675,0.00672675,0.00672675
41,2192.2,1.59782,1.08519,0.92062,0.4819,0.38531,0.36256,0.20171,1.408,0.98113,0.88814,0.00657963,0.00657963,0.00657963
42,2245.54,1.59709,1.0792,0.91969,0.48154,0.37675,0.35187,0.19629,1.40082,0.98099,0.88626,0.00643101,0.00643101,0.00643101
43,2299.32,1.59518,1.08077,0.91847,0.49551,0.37785,0.36306,0.19986,1.40998,0.98168,0.88771,0.00628101,0.00628101,0.00628101
44,2352.22,1.58374,1.07308,0.91973,0.49165,0.37704,0.36205,0.20188,1.38606,0.97686,0.88527,0.00612981,0.00612981,0.00612981
45,2405.05,1.57309,1.06231,0.91453,0.48372,0.39099,0.368,0.20279,1.4045,0.97059,0.88757,0.00597754,0.00597754,0.00597754
46,2458.17,1.58609,1.07138,0.91737,0.4918,0.39336,0.37145,0.20462,1.40695,0.96996,0.88807,0.00582435,0.00582435,0.00582435
47,2511.14,1.5754,1.05848,0.91828,0.48682,0.39075,0.36908,0.20379,1.40557,0.97576,0.88758,0.0056704,0.0056704,0.0056704
