epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.7957,1.4356,1.04801,0.96008,0.55347,0.44929,0.44178,0.25431,1.37155,1.07018,0.96066,0.00166328,0.00166328,0.0683977
2,163.73,1.45048,1.06866,0.95825,0.54673,0.4482,0.44117,0.25309,1.37677,1.081,0.9619,0.00332917,0.00332917,0.0367302
3,241.583,1.45792,1.08104,0.963,0.53951,0.4318,0.41896,0.23676,1.37755,1.10402,0.96379,0.00499193,0.00499193,0.00505968
4,319.429,1.47525,1.10645,0.97167,0.53991,0.43452,0.42356,0.24212,1.40737,1.10486,0.96836,0.00498946,0.00498946,0.00498946
5,397.311,1.47903,1.11209,0.9699,0.55141,0.43716,0.43211,0.24458,1.40588,1.11891,0.96752,0.00498127,0.00498127,0.00498127
6,475.163,1.48002,1.11606,0.96987,0.53783,0.43915,0.42984,0.24704,1.38747,1.09682,0.9643,0.00497076,0.00497076,0.00497076
7,553.124,1.48253,1.11537,0.97056,0.54294,0.42445,0.42286,0.23698,1.41704,1.11744,0.97007,0.00495793,0.00495793,0.00495793
8,630.409,1.4731,1.10915,0.97299,0.53845,0.43576,0.42692,0.24472,1.39124,1.10043,0.96643,0.0049428,0.0049428,0.0049428
9,707.651,1.47977,1.10989,0.96875,0.5425,0.4326,0.42456,0.24039,1.40497,1.10297,0.96604,0.00492539,0.00492539,0.00492539
10,785.377,1.48158,1.11236,0.96841,0.54702,0.43376,0.42805,0.24411,1.40442,1.09226,0.96876,0.0049057,0.0049057,0.0049057
11,862.918,1.4758,1.10494,0.97073,0.53462,0.43765,0.42872,0.24475,1.38418,1.09239,0.9649,0.00488376,0.00488376,0.00488376
12,940.141,1.47835,1.11344,0.96876,0.52668,0.43245,0.42585,0.24291,1.39276,1.09469,0.96556,0.00485959,0.00485959,0.00485959
13,1017.79,1.47202,1.1109,0.97103,0.53433,0.44031,0.42589,0.24121,1.40059,1.09896,0.96637,0.00483322,0.00483322,0.00483322
14,1095.21,1.48023,1.11121,0.97013,0.54541,0.43195,0.42771,0.24362,1.40605,1.09413,0.96781,0.00480467,0.00480467,0.00480467
15,1172.81,1.46502,1.09584,0.96864,0.54537,0.44199,0.43243,0.24886,1.3805,1.09034,0.96394,0.00477396,0.00477396,0.00477396
16,1250.19,1.47129,1.10093,0.96981,0.54181,0.44818,0.43691,0.25064,1.38947,1.08733,0.96533,0.00474114,0.00474114,0.00474114
17,1328.04,1.46137,1.0854,0.96489,0.55284,0.43548,0.43595,0.24835,1.38603,1.08408,0.96541,0.00470623,0.00470623,0.00470623
18,1405.83,1.47527,1.09906,0.96726,0.54846,0.43104,0.42933,0.24529,1.39229,1.09271,0.96571,0.00466926,0.00466926,0.00466926
19,1482.71,1.47166,1.09727,0.96687,0.55121,0.43873,0.43958,0.25325,1.38121,1.0761,0.96308,0.00463028,0.00463028,0.00463028
20,1560.37,1.46013,1.0837,0.96635,0.56011,0.43836,0.43748,0.2519,1.3738,1.08361,0.96289,0.00458932,0.00458932,0.00458932
21,1638.29,1.46408,1.08564,0.96499,0.561,0.43499,0.43405,0.24987,1.38168,1.09096,0.96224,0.00454642,0.00454642,0.00454642
22,1715.9,1.4596,1.08447,0.96535,0.55202,0.44814,0.44009,0.25253,1.379,1.07551,0.96137,0.00450162,0.00450162,0.00450162
23,1793.35,1.45069,1.07521,0.96677,0.54365,0.44113,0.43229,0.24742,1.38551,1.08751,0.96448,0.00445497,0.00445497,0.00445497
24,1870.76,1.44976,1.07757,0.96634,0.55211,0.44375,0.44002,0.25273,1.37088,1.07687,0.96166,0.00440651,0.00440651,0.00440651
25,1948.18,1.4555,1.07916,0.96469,0.55812,0.43971,0.4363,0.2479,1.40104,1.08733,0.96459,0.0043563,0.0043563,0.0043563
26,2025.9,1.45704,1.08152,0.96451,0.54516,0.44728,0.43628,0.24886,1.39445,1.08391,0.96545,0.00430438,0.00430438,0.00430438
27,2103.11,1.44972,1.07737,0.96607,0.5521,0.4376,0.43696,0.24813,1.38261,1.08481,0.96449,0.0042508,0.0042508,0.0042508
28,2181.04,1.44621,1.06511,0.96336,0.53531,0.45149,0.43748,0.25039,1.37914,1.08168,0.96397,0.00419562,0.00419562,0.00419562
29,2258.84,1.44643,1.06745,0.96174,0.5396,0.45371,0.4392,0.24824,1.40911,1.08351,0.96529,0.00413888,0.00413888,0.00413888
