epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.9126,3.56467,3.10999,2.21479,0.19117,0.12165,0.06284,0.02222,2.52617,2.012,1.36723,0.00199458,0.00199458,0.0820488
2,134.731,2.48205,2.0296,1.37327,0.15181,0.15981,0.09229,0.03804,2.17988,1.66369,1.2047,0.0039936,0.0039936,0.0640478
3,198.453,2.29523,1.80676,1.25777,0.2179,0.19285,0.12345,0.05068,2.16205,1.53567,1.16972,0.00598872,0.00598872,0.0460429
4,261.22,2.18861,1.70987,1.21068,0.23836,0.22905,0.14553,0.05987,2.12905,1.47484,1.16292,0.00797702,0.00797702,0.0280312
5,322.985,2.14412,1.65058,1.18428,0.23609,0.21681,0.1507,0.06953,1.93977,1.43628,1.10149,0.00995557,0.00995557,0.0100098
6,385.378,2.09851,1.62368,1.1606,0.2912,0.22215,0.16576,0.07319,2.004,1.42557,1.09842,0.00993906,0.00993906,0.00993906
7,447.484,2.04716,1.56109,1.14272,0.26699,0.24143,0.18038,0.08628,1.83124,1.34691,1.06008,0.00991232,0.00991232,0.00991232
8,509.756,1.98828,1.49296,1.1284,0.30624,0.24369,0.19026,0.09458,1.75995,1.32069,1.04424,0.00988079,0.00988079,0.00988079
9,571.189,1.95064,1.46263,1.11468,0.32892,0.26578,0.21913,0.10934,1.72287,1.25083,1.02569,0.00984449,0.00984449,0.00984449
10,632.391,1.91813,1.42411,1.10328,0.34012,0.27219,0.2165,0.10335,1.78833,1.27645,1.03928,0.00980345,0.00980345,0.00980345
11,693.561,1.89234,1.39683,1.09105,0.33925,0.28167,0.23979,0.11812,1.73482,1.21757,1.02968,0.00975773,0.00975773,0.00975773
12,754.962,1.87795,1.37494,1.08528,0.36062,0.28448,0.24327,0.11978,1.71272,1.20543,1.01916,0.00970736,0.00970736,0.00970736
13,817.094,1.85508,1.34927,1.08124,0.34337,0.29085,0.2472,0.12446,1.68857,1.1803,1.00796,0.00965239,0.00965239,0.00965239
14,878.615,1.83875,1.32743,1.06807,0.36593,0.28684,0.24769,0.12859,1.61847,1.17121,0.99667,0.00959289,0.00959289,0.00959289
15,940.558,1.82839,1.31972,1.06876,0.36135,0.28581,0.25302,0.12939,1.61253,1.16278,0.99639,0.00952889,0.00952889,0.00952889
16,1002.57,1.82046,1.31119,1.07047,0.38116,0.30183,0.26895,0.13888,1.58686,1.13339,0.98744,0.00946048,0.00946048,0.00946048
17,1064.19,1.8137,1.29882,1.05895,0.40398,0.30033,0.26957,0.1388,1.60082,1.14211,0.9892,0.00938772,0.00938772,0.00938772
18,1125.92,1.80938,1.29121,1.04806,0.39911,0.31194,0.27644,0.14347,1.61792,1.14143,0.98416,0.00931067,0.00931067,0.00931067
19,1187.97,1.79952,1.28481,1.051,0.39322,0.30749,0.27482,0.14213,1.60488,1.15797,0.97423,0.00922942,0.00922942,0.00922942
20,1249.42,1.78831,1.2761,1.04286,0.39319,0.31631,0.28169,0.1448,1.61141,1.14503,0.9739,0.00914405,0.00914405,0.00914405
21,1311,1.79435,1.27891,1.03848,0.40138,0.30834,0.28106,0.14571,1.57702,1.13881,0.96829,0.00905463,0.00905463,0.00905463
22,1372.89,1.78719,1.27421,1.03587,0.40007,0.31859,0.28654,0.14805,1.59798,1.13537,0.97382,0.00896127,0.00896127,0.00896127
23,1434.63,1.76889,1.25651,1.02572,0.40465,0.31868,0.28904,0.15156,1.56503,1.11948,0.96307,0.00886404,0.00886404,0.00886404
24,1496.42,1.77747,1.25484,1.02217,0.4087,0.32809,0.29136,0.15217,1.59294,1.12273,0.96515,0.00876305,0.00876305,0.00876305
25,1557.89,1.77331,1.25589,1.02369,0.42863,0.32694,0.2974,0.15483,1.57199,1.10588,0.95927,0.00865839,0.00865839,0.00865839
26,1620.21,1.75567,1.24061,1.01961,0.41659,0.33118,0.3018,0.16014,1.53517,1.09969,0.95256,0.00855018,0.00855018,0.00855018
27,1681.39,1.7404,1.22699,1.01749,0.41564,0.33004,0.29545,0.15593,1.54047,1.10185,0.95519,0.00843851,0.00843851,0.00843851
28,1742.77,1.73606,1.22547,1.01705,0.4057,0.33602,0.29939,0.15886,1.52894,1.09355,0.95047,0.00832349,0.00832349,0.00832349
29,1804.59,1.73345,1.22282,1.01092,0.43609,0.34333,0.30787,0.16373,1.52254,1.08128,0.94856,0.00820525,0.00820525,0.00820525
30,1866.12,1.73078,1.21603,1.01325,0.42545,0.33649,0.30488,0.16327,1.5302,1.0822,0.94903,0.00808389,0.00808389,0.00808389
31,1928.05,1.72291,1.20659,1.00942,0.43652,0.33692,0.30651,0.16172,1.54681,1.07719,0.95157,0.00795954,0.00795954,0.00795954
32,1989.86,1.71327,1.19627,1.0044,0.4422,0.3471,0.31683,0.1655,1.55812,1.0725,0.95365,0.00783231,0.00783231,0.00783231
33,2051.62,1.72313,1.20345,1.00603,0.44707,0.33954,0.3156,0.16852,1.49894,1.05924,0.94421,0.00770234,0.00770234,0.00770234
34,2113.26,1.70506,1.18249,1.00334,0.43447,0.34916,0.31734,0.16928,1.49833,1.06295,0.94163,0.00756976,0.00756976,0.00756976
35,2175.32,1.70318,1.18335,1.00029,0.43878,0.34803,0.32011,0.17075,1.49736,1.04939,0.94212,0.00743468,0.00743468,0.00743468
36,2237.67,1.69453,1.17342,1.00181,0.45752,0.35377,0.3272,0.17555,1.48563,1.04119,0.93702,0.00729725,0.00729725,0.00729725
37,2299.73,1.67405,1.15403,0.99184,0.44916,0.35002,0.32412,0.1723,1.50539,1.04812,0.94183,0.00715761,0.00715761,0.00715761
38,2361.66,1.67849,1.16492,1.00193,0.44697,0.35322,0.32787,0.17429,1.50638,1.04287,0.9407,0.00701588,0.00701588,0.00701588
39,2423.98,1.68678,1.16156,0.99757,0.45455,0.35221,0.32792,0.17701,1.48944,1.0384,0.93819,0.00687222,0.00687222,0.00687222
