epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.042,1.53918,1.15527,1.06146,0.51471,0.41714,0.40416,0.22646,1.44267,1.1276,1.03798,0.00166328,0.00166328,0.0683977
2,204.545,1.54939,1.16951,1.05597,0.49576,0.41578,0.39759,0.2255,1.43824,1.14209,1.03616,0.00332917,0.00332917,0.0367302
3,302.139,1.55267,1.17355,1.06355,0.49383,0.41591,0.3941,0.22061,1.44001,1.135,1.03935,0.00499193,0.00499193,0.00505968
4,399.585,1.56937,1.192,1.07727,0.5169,0.40771,0.39789,0.22119,1.46799,1.14015,1.04523,0.00498946,0.00498946,0.00498946
5,497.04,1.57196,1.19662,1.0726,0.50455,0.40875,0.39188,0.21889,1.44182,1.14875,1.03971,0.00498127,0.00498127,0.00498127
6,594.469,1.5705,1.19778,1.06934,0.50184,0.40857,0.39354,0.22164,1.44269,1.14563,1.0356,0.00497076,0.00497076,0.00497076
7,691.971,1.57432,1.19618,1.07194,0.51373,0.40751,0.39588,0.22114,1.46425,1.13783,1.04353,0.00495793,0.00495793,0.00495793
8,789.26,1.56373,1.18903,1.07749,0.50237,0.41543,0.40391,0.22752,1.43905,1.12363,1.03661,0.0049428,0.0049428,0.0049428
9,886.806,1.56864,1.19096,1.06941,0.51038,0.40927,0.39696,0.22052,1.46787,1.14172,1.04178,0.00492539,0.00492539,0.00492539
10,984.256,1.57248,1.19208,1.06834,0.50586,0.41225,0.39311,0.21841,1.45904,1.14586,1.0402,0.0049057,0.0049057,0.0049057
11,1081.86,1.56409,1.18336,1.07021,0.5062,0.41461,0.40328,0.22627,1.46244,1.13638,1.04104,0.00488376,0.00488376,0.00488376
12,1178.99,1.56726,1.19098,1.06609,0.50915,0.41083,0.40131,0.22675,1.44668,1.13358,1.03731,0.00485959,0.00485959,0.00485959
13,1276.26,1.56053,1.18872,1.07169,0.50164,0.42507,0.40458,0.22716,1.45164,1.12358,1.03763,0.00483322,0.00483322,0.00483322
14,1373.74,1.56695,1.18514,1.06689,0.51267,0.41565,0.40488,0.22656,1.44634,1.12495,1.03806,0.00480467,0.00480467,0.00480467
15,1471.06,1.55245,1.17268,1.06811,0.52039,0.41148,0.40057,0.22376,1.45852,1.13169,1.03996,0.00477396,0.00477396,0.00477396
16,1568.45,1.55791,1.1777,1.06745,0.51885,0.41943,0.40877,0.2309,1.43841,1.12303,1.03614,0.00474114,0.00474114,0.00474114
17,1665.97,1.54882,1.16142,1.06135,0.51546,0.41941,0.4031,0.22722,1.44187,1.12625,1.03514,0.00470623,0.00470623,0.00470623
18,1763.62,1.56153,1.17659,1.06284,0.52831,0.41812,0.40494,0.22827,1.44217,1.11663,1.0357,0.00466926,0.00466926,0.00466926
19,1861.09,1.56056,1.17588,1.06387,0.51849,0.42013,0.41071,0.23062,1.46097,1.12029,1.03831,0.00463028,0.00463028,0.00463028
20,1958.5,1.54703,1.15822,1.06463,0.51526,0.42099,0.40723,0.23087,1.43024,1.11637,1.03165,0.00458932,0.00458932,0.00458932
21,2055.81,1.54906,1.16239,1.06124,0.51828,0.42383,0.41311,0.23389,1.43209,1.11255,1.03326,0.00454642,0.00454642,0.00454642
22,2153.26,1.54808,1.1625,1.06135,0.52813,0.41478,0.4135,0.23466,1.4205,1.10897,1.02953,0.00450162,0.00450162,0.00450162
23,2250.43,1.5355,1.15153,1.06456,0.52035,0.42888,0.41118,0.23378,1.42862,1.10877,1.03144,0.00445497,0.00445497,0.00445497
