epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.23,3.17379,3.09327,1.64914,0.10248,0.15242,0.07059,0.02738,2.33595,1.80816,1.2064,0.00199458,0.00199458,0.0820488
2,145.545,2.32451,1.93502,1.18436,0.17438,0.20439,0.10777,0.04788,2.08788,1.6515,1.10787,0.0039936,0.0039936,0.0640478
3,214.16,2.19339,1.76271,1.13031,0.33264,0.19975,0.13141,0.05527,2.1245,1.54303,1.09276,0.00598872,0.00598872,0.0460429
4,281.524,2.11013,1.67714,1.10557,0.35344,0.22494,0.16127,0.07507,1.93907,1.45338,1.05652,0.00797702,0.00797702,0.0280312
5,347.585,2.08714,1.62373,1.09396,0.23274,0.23393,0.15306,0.07072,1.96083,1.46515,1.05979,0.00995557,0.00995557,0.0100098
6,414.164,2.05639,1.60247,1.08429,0.2649,0.2221,0.16279,0.06977,2.10302,1.45456,1.09068,0.00993906,0.00993906,0.00993906
7,480.317,2.01892,1.54764,1.07374,0.29758,0.25738,0.20109,0.0989,1.77595,1.31039,1.01488,0.00991232,0.00991232,0.00991232
8,546.28,1.96322,1.48852,1.06466,0.30772,0.25673,0.19834,0.0997,1.75102,1.30223,1.01053,0.00988079,0.00988079,0.00988079
9,612.434,1.93806,1.46331,1.05566,0.34483,0.26462,0.22304,0.11229,1.70529,1.27018,0.99282,0.00984449,0.00984449,0.00984449
10,678.769,1.90562,1.42957,1.04954,0.34564,0.27232,0.22722,0.11263,1.74569,1.26212,0.99736,0.00980345,0.00980345,0.00980345
11,744.772,1.88635,1.4083,1.03982,0.3383,0.27568,0.23331,0.11675,1.69236,1.25066,0.98399,0.00975773,0.00975773,0.00975773
12,811.231,1.87131,1.3916,1.03614,0.36312,0.29034,0.2469,0.12305,1.6861,1.22263,0.98438,0.00970736,0.00970736,0.00970736
13,877.832,1.85311,1.36336,1.03354,0.36969,0.29219,0.2538,0.12785,1.66549,1.18927,0.97895,0.00965239,0.00965239,0.00965239
14,943.921,1.83771,1.34663,1.02494,0.3718,0.28831,0.24546,0.12468,1.6719,1.20269,0.98448,0.00959289,0.00959289,0.00959289
15,1010.31,1.82975,1.34168,1.02404,0.36678,0.28082,0.24605,0.1273,1.61163,1.18737,0.96781,0.00952889,0.00952889,0.00952889
16,1076.32,1.81909,1.32828,1.02637,0.37616,0.30874,0.26798,0.13943,1.58835,1.15885,0.96212,0.00946048,0.00946048,0.00946048
17,1142.63,1.80426,1.30908,1.01848,0.37569,0.30315,0.26031,0.13349,1.57958,1.15505,0.95993,0.00938772,0.00938772,0.00938772
