epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.518,1.40834,1.14527,1.23166,0.59684,0.51005,0.50665,0.29633,1.56997,1.46554,1.28416,0.000499491,0.000499491,0.000601221
2,461.017,1.39772,1.12702,1.22653,0.59447,0.51063,0.50826,0.29774,1.55676,1.4632,1.2795,0.000499556,0.000499556,0.000499556
3,689.811,1.38595,1.11583,1.22474,0.58938,0.50781,0.50557,0.29488,1.56893,1.46486,1.28314,0.000498226,0.000498226,0.000498226
4,918.4,1.39033,1.1115,1.22327,0.59139,0.50994,0.50487,0.29582,1.56156,1.46926,1.28195,0.000496015,0.000496015,0.000496015
5,1146.68,1.38828,1.10902,1.22226,0.59748,0.50323,0.50148,0.29483,1.55885,1.47196,1.28006,0.000492931,0.000492931,0.000492931
6,1374.96,1.38752,1.10593,1.22388,0.58952,0.50895,0.50478,0.29712,1.55587,1.46673,1.27957,0.000488988,0.000488988,0.000488988
7,1603.45,1.38735,1.10258,1.2209,0.60007,0.50589,0.50517,0.29717,1.55471,1.46184,1.27834,0.0004842,0.0004842,0.0004842
8,1831.88,1.38268,1.09743,1.21858,0.59491,0.51513,0.50777,0.29922,1.55107,1.46267,1.27832,0.000478586,0.000478586,0.000478586
9,2060.28,1.38084,1.09696,1.21923,0.59842,0.50735,0.50591,0.2972,1.5545,1.46675,1.27761,0.000472169,0.000472169,0.000472169
10,2288.54,1.37999,1.09578,1.21925,0.59113,0.51204,0.50414,0.29604,1.5657,1.47013,1.2818,0.000464974,0.000464974,0.000464974
11,2516.88,1.37741,1.08881,1.22032,0.5875,0.51191,0.50407,0.2965,1.55879,1.46451,1.28065,0.000457029,0.000457029,0.000457029
12,2745.23,1.3753,1.0856,1.21891,0.59149,0.50813,0.50183,0.29467,1.55826,1.47172,1.28037,0.000448365,0.000448365,0.000448365
13,2973.4,1.37176,1.08206,1.21721,0.58476,0.50609,0.50146,0.29399,1.56483,1.47696,1.28311,0.000439018,0.000439018,0.000439018
14,3201.65,1.37868,1.08604,1.21847,0.58883,0.50812,0.50155,0.2943,1.56316,1.47234,1.28143,0.000429023,0.000429023,0.000429023
15,3430.12,1.37083,1.07917,1.21531,0.59414,0.50484,0.50397,0.29613,1.56256,1.47591,1.28281,0.00041842,0.00041842,0.00041842
16,3659.27,1.36898,1.07592,1.21448,0.59787,0.50748,0.50462,0.29684,1.55758,1.46851,1.28046,0.000407252,0.000407252,0.000407252
17,3888.14,1.3676,1.07467,1.21347,0.59234,0.50771,0.50266,0.29468,1.56566,1.47023,1.28209,0.000395561,0.000395561,0.000395561
18,4116.99,1.36444,1.06894,1.21248,0.59382,0.50908,0.50255,0.29461,1.56973,1.47389,1.28444,0.000383395,0.000383395,0.000383395
19,4345.79,1.36529,1.07033,1.21246,0.58839,0.50927,0.50201,0.29489,1.55774,1.47348,1.28091,0.0003708,0.0003708,0.0003708
20,4574.38,1.36425,1.06809,1.2105,0.60058,0.50475,0.5053,0.29717,1.56126,1.47005,1.28218,0.000357828,0.000357828,0.000357828
21,4802.91,1.36485,1.06629,1.21219,0.59613,0.50541,0.5046,0.29642,1.55667,1.47137,1.28041,0.000344529,0.000344529,0.000344529
22,5031.35,1.36371,1.06702,1.21399,0.5962,0.50934,0.50553,0.29733,1.55431,1.46879,1.2802,0.000330955,0.000330955,0.000330955
23,5259.88,1.36073,1.06005,1.21283,0.59497,0.50913,0.5042,0.29635,1.55901,1.46844,1.28084,0.000317161,0.000317161,0.000317161
24,5488.3,1.36287,1.06271,1.20964,0.59457,0.50511,0.50103,0.29288,1.56875,1.48085,1.28361,0.0003032,0.0003032,0.0003032
25,5716.77,1.35976,1.05843,1.21162,0.58947,0.50821,0.5017,0.29482,1.56203,1.47169,1.28316,0.000289128,0.000289128,0.000289128
26,5945.78,1.36016,1.05943,1.21241,0.59117,0.50943,0.5026,0.29536,1.55533,1.47231,1.28068,0.000275,0.000275,0.000275
27,6173.71,1.36009,1.05647,1.21125,0.59679,0.50437,0.50061,0.29364,1.5595,1.47993,1.2812,0.000260872,0.000260872,0.000260872
28,6402.15,1.35898,1.05493,1.21368,0.59346,0.51298,0.50413,0.29602,1.56464,1.47417,1.28266,0.0002468,0.0002468,0.0002468
29,6630.89,1.35811,1.05424,1.20846,0.59858,0.50184,0.50107,0.29547,1.55856,1.47423,1.2809,0.000232839,0.000232839,0.000232839
30,6859.89,1.36067,1.05554,1.21188,0.60017,0.5046,0.50044,0.29284,1.5723,1.47954,1.28527,0.000219045,0.000219045,0.000219045
31,7088.78,1.35256,1.04871,1.20775,0.59357,0.50883,0.50136,0.29318,1.57058,1.47746,1.285,0.000205471,0.000205471,0.000205471
32,7317.34,1.3486,1.04568,1.20633,0.60061,0.50095,0.50037,0.2936,1.56917,1.48191,1.28469,0.000192172,0.000192172,0.000192172
33,7546.18,1.35617,1.05058,1.21281,0.59796,0.50333,0.50141,0.29438,1.56528,1.48075,1.28417,0.0001792,0.0001792,0.0001792
34,7775.27,1.3528,1.04559,1.20843,0.60169,0.50046,0.49937,0.29212,1.57043,1.48299,1.28551,0.000166605,0.000166605,0.000166605
