epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.367,1.48875,1.24861,1.13478,0.58064,0.47358,0.47727,0.27805,1.46661,1.27414,1.13921,0.000998643,0.000998643,0.0510665
2,311.773,1.48568,1.245,1.1313,0.55809,0.48117,0.47694,0.27857,1.45278,1.27673,1.13427,0.00199819,0.00199819,0.00206603
3,465.037,1.49417,1.25214,1.13683,0.5691,0.48025,0.47834,0.27682,1.46624,1.2734,1.13836,0.00199818,0.00199818,0.00199818
4,616.193,1.49174,1.25701,1.13874,0.56906,0.47436,0.4784,0.27542,1.47556,1.2761,1.13755,0.00199592,0.00199592,0.00199592
5,768.104,1.48403,1.23868,1.13109,0.56329,0.48421,0.48089,0.27786,1.47451,1.28061,1.14024,0.00199275,0.00199275,0.00199275
6,919.679,1.49103,1.24653,1.13324,0.56145,0.48219,0.47839,0.27831,1.44527,1.26483,1.134,0.00198867,0.00198867,0.00198867
7,1071.82,1.48983,1.24796,1.13556,0.56533,0.48857,0.48285,0.28069,1.45632,1.27329,1.13572,0.0019837,0.0019837,0.0019837
8,1223.61,1.49107,1.24287,1.13523,0.55753,0.48857,0.48402,0.28338,1.44342,1.26807,1.13292,0.00197784,0.00197784,0.00197784
9,1375.8,1.48231,1.24016,1.13611,0.56074,0.48072,0.47628,0.27858,1.44846,1.26831,1.13374,0.0019711,0.0019711,0.0019711
10,1527.56,1.48529,1.24391,1.13655,0.57567,0.48289,0.48593,0.28175,1.46279,1.26657,1.13636,0.00196347,0.00196347,0.00196347
11,1678.51,1.49402,1.24564,1.13801,0.57118,0.48144,0.483,0.28268,1.45163,1.26313,1.13354,0.00195497,0.00195497,0.00195497
12,1830.87,1.4892,1.2405,1.13095,0.56337,0.48793,0.48447,0.28247,1.45352,1.26332,1.13477,0.00194561,0.00194561,0.00194561
13,1983.97,1.4884,1.23534,1.13143,0.57674,0.48834,0.48844,0.28515,1.44768,1.25646,1.13221,0.00193539,0.00193539,0.00193539
14,2136.09,1.48476,1.23528,1.13374,0.56194,0.48435,0.47749,0.27939,1.458,1.26781,1.13596,0.00192433,0.00192433,0.00192433
15,2288.78,1.48692,1.24126,1.13424,0.56712,0.48948,0.48712,0.28425,1.45286,1.25838,1.13407,0.00191244,0.00191244,0.00191244
16,2441.6,1.48924,1.24272,1.13074,0.56489,0.48884,0.48358,0.28193,1.45218,1.2549,1.13397,0.00189973,0.00189973,0.00189973
17,2594.68,1.485,1.23699,1.13368,0.55719,0.48318,0.47881,0.28,1.45306,1.26566,1.13427,0.0018862,0.0018862,0.0018862
18,2747.28,1.47446,1.22295,1.12855,0.56654,0.48869,0.48551,0.28327,1.46047,1.26286,1.13494,0.00187188,0.00187188,0.00187188
19,2899.6,1.48137,1.22833,1.13098,0.58198,0.47599,0.48529,0.28349,1.45099,1.26567,1.1344,0.00185678,0.00185678,0.00185678
20,3052.48,1.4855,1.23374,1.13331,0.56538,0.48008,0.47853,0.27965,1.44746,1.27289,1.13254,0.00184091,0.00184091,0.00184091
21,3205.65,1.48748,1.23067,1.13137,0.57343,0.48727,0.48627,0.28346,1.44446,1.2549,1.13143,0.0018243,0.0018243,0.0018243
22,3358.64,1.48791,1.23122,1.1339,0.5721,0.48591,0.48492,0.28048,1.46199,1.2525,1.13658,0.00180694,0.00180694,0.00180694
23,3511.43,1.47698,1.22796,1.13615,0.56224,0.48828,0.48495,0.28368,1.44599,1.25625,1.13138,0.00178887,0.00178887,0.00178887
24,3665.26,1.47693,1.21885,1.12907,0.57548,0.48058,0.48478,0.28273,1.44474,1.25709,1.13225,0.0017701,0.0017701,0.0017701
25,3818.75,1.47595,1.21739,1.13066,0.57138,0.48858,0.48784,0.28404,1.45101,1.25275,1.13323,0.00175065,0.00175065,0.00175065
26,3971.8,1.47098,1.217,1.13069,0.56243,0.4969,0.49009,0.28681,1.44181,1.25072,1.13064,0.00173054,0.00173054,0.00173054
27,4124.09,1.4707,1.21739,1.13363,0.57501,0.48638,0.4892,0.28436,1.44778,1.25315,1.13125,0.00170978,0.00170978,0.00170978
28,4277.01,1.47467,1.21687,1.13082,0.57295,0.4886,0.4844,0.28217,1.45196,1.25453,1.13394,0.00168841,0.00168841,0.00168841
29,4430.49,1.47848,1.22222,1.13333,0.57042,0.48863,0.48435,0.28213,1.45068,1.25847,1.13353,0.00166643,0.00166643,0.00166643
30,4583.77,1.47087,1.21395,1.12746,0.57015,0.49005,0.48599,0.28435,1.44812,1.25292,1.13359,0.00164387,0.00164387,0.00164387
31,4736.8,1.47666,1.21572,1.13395,0.57954,0.48414,0.48806,0.28501,1.4428,1.24388,1.13011,0.00162076,0.00162076,0.00162076
32,4890.65,1.47133,1.21066,1.12738,0.57221,0.49125,0.4885,0.28457,1.44751,1.2454,1.13134,0.00159712,0.00159712,0.00159712
33,5044.04,1.47774,1.21735,1.12826,0.5688,0.49313,0.49033,0.28637,1.44719,1.24372,1.13281,0.00157296,0.00157296,0.00157296
34,5197.56,1.47439,1.21427,1.12747,0.57231,0.49477,0.49227,0.28907,1.43311,1.23621,1.12879,0.00154832,0.00154832,0.00154832
35,5351.02,1.47354,1.21004,1.13106,0.58249,0.48702,0.48937,0.28676,1.44332,1.24456,1.13088,0.00152321,0.00152321,0.00152321
36,5504.5,1.46689,1.20513,1.12729,0.57821,0.48737,0.48586,0.28521,1.43434,1.2431,1.13004,0.00149767,0.00149767,0.00149767
37,5659.05,1.46966,1.20887,1.1235,0.57654,0.49185,0.48985,0.28657,1.44009,1.24538,1.13055,0.00147172,0.00147172,0.00147172
38,5812.63,1.46344,1.20039,1.12721,0.57659,0.48779,0.48843,0.28541,1.44093,1.24073,1.12982,0.00144538,0.00144538,0.00144538
39,5965.93,1.47045,1.20715,1.12789,0.58539,0.48325,0.48841,0.28673,1.43031,1.23784,1.12661,0.00141867,0.00141867,0.00141867
40,6119.12,1.45813,1.19569,1.12708,0.56995,0.49549,0.4905,0.28725,1.43531,1.24573,1.12899,0.00139164,0.00139164,0.00139164
41,6272.59,1.46664,1.20319,1.12669,0.58068,0.48707,0.49051,0.28732,1.44065,1.23906,1.13078,0.0013643,0.0013643,0.0013643
42,6426.17,1.46439,1.20076,1.12932,0.57994,0.48757,0.49208,0.28903,1.43589,1.23446,1.12819,0.00133667,0.00133667,0.00133667
43,6579.9,1.46337,1.20115,1.12516,0.58098,0.4963,0.49476,0.29005,1.43365,1.23324,1.12821,0.00130879,0.00130879,0.00130879
44,6733.17,1.46378,1.19547,1.12348,0.57377,0.49554,0.49142,0.28827,1.43108,1.23478,1.12748,0.00128069,0.00128069,0.00128069
45,6886.31,1.46165,1.19964,1.1298,0.56714,0.49872,0.49186,0.28803,1.43573,1.23839,1.12738,0.00125239,0.00125239,0.00125239
46,7039.13,1.45688,1.1919,1.12838,0.58016,0.48621,0.48832,0.28595,1.4389,1.24041,1.12835,0.00122392,0.00122392,0.00122392
47,7192.69,1.46519,1.19391,1.12504,0.57348,0.49712,0.49376,0.28943,1.43573,1.23542,1.12756,0.00119531,0.00119531,0.00119531
48,7346.13,1.45646,1.18849,1.12252,0.56983,0.49718,0.49223,0.28894,1.43818,1.23703,1.12882,0.00116658,0.00116658,0.00116658
49,7499.28,1.45715,1.1903,1.12668,0.57534,0.4951,0.49461,0.29091,1.43204,1.23523,1.12743,0.00113777,0.00113777,0.00113777
50,7653.89,1.46123,1.19297,1.1225,0.58799,0.49133,0.49499,0.29119,1.43265,1.23241,1.12675,0.0011089,0.0011089,0.0011089
51,7807.76,1.46153,1.1965,1.12585,0.58398,0.49262,0.49249,0.29005,1.43345,1.2322,1.12737,0.00108,0.00108,0.00108
52,7961.82,1.46127,1.1949,1.12563,0.58678,0.49065,0.49182,0.28875,1.44156,1.23473,1.12961,0.0010511,0.0010511,0.0010511
53,8115.03,1.45574,1.17956,1.12482,0.58112,0.49337,0.49429,0.29061,1.43014,1.23243,1.12747,0.00102223,0.00102223,0.00102223
54,8268.21,1.46471,1.19023,1.12509,0.59032,0.49001,0.49327,0.29019,1.43198,1.23355,1.12734,0.00099342,0.00099342,0.00099342
55,8422.78,1.46305,1.19275,1.12461,0.57688,0.49475,0.49296,0.28993,1.43322,1.23108,1.12716,0.000964693,0.000964693,0.000964693
56,8576.53,1.46173,1.18782,1.12457,0.5748,0.49953,0.49498,0.29122,1.43277,1.2289,1.1276,0.00093608,0.00093608,0.00093608
57,8729.64,1.45638,1.17994,1.12426,0.57862,0.50021,0.49443,0.28949,1.44242,1.23224,1.13019,0.000907609,0.000907609,0.000907609
58,8882.43,1.46176,1.19182,1.12447,0.57859,0.50017,0.49606,0.29045,1.43435,1.22978,1.1277,0.000879308,0.000879308,0.000879308
59,9035.22,1.45761,1.18579,1.12369,0.58074,0.49597,0.49673,0.29236,1.43382,1.22975,1.12703,0.000851205,0.000851205,0.000851205
60,9189.02,1.46122,1.18243,1.12591,0.58255,0.49625,0.49806,0.29198,1.43801,1.22736,1.12821,0.000823328,0.000823328,0.000823328
61,9343.08,1.45006,1.1785,1.12226,0.58408,0.4928,0.49689,0.29174,1.43309,1.22739,1.1269,0.000795704,0.000795704,0.000795704
62,9496.79,1.44313,1.16741,1.12146,0.58565,0.49276,0.49565,0.2918,1.42875,1.22738,1.12703,0.000768361,0.000768361,0.000768361
63,9650.06,1.45414,1.17816,1.12469,0.58371,0.49571,0.49698,0.29205,1.43006,1.22541,1.12643,0.000741325,0.000741325,0.000741325
64,9803.45,1.44794,1.17043,1.1256,0.58187,0.49805,0.49926,0.2928,1.42819,1.22501,1.12565,0.000714624,0.000714624,0.000714624
65,9956.55,1.44982,1.17766,1.12268,0.57726,0.50167,0.49556,0.29093,1.43121,1.22747,1.12731,0.000688283,0.000688283,0.000688283
66,10109.7,1.44712,1.1676,1.11738,0.59087,0.4928,0.49838,0.2925,1.43187,1.22538,1.12733,0.000662329,0.000662329,0.000662329
67,10262.8,1.45719,1.18097,1.12218,0.58184,0.49743,0.49763,0.29205,1.4298,1.22793,1.1267,0.000636787,0.000636787,0.000636787
68,10415.8,1.44914,1.17453,1.12355,0.58813,0.4953,0.49923,0.2931,1.43539,1.22299,1.12833,0.000611682,0.000611682,0.000611682
69,10569,1.44337,1.16794,1.12062,0.58333,0.49889,0.49918,0.29336,1.43594,1.22428,1.12863,0.000587039,0.000587039,0.000587039
70,10723,1.44873,1.17076,1.12057,0.57729,0.50177,0.49768,0.29242,1.42691,1.22522,1.12686,0.000562883,0.000562883,0.000562883
71,10876.2,1.45239,1.17163,1.12253,0.58631,0.49779,0.49757,0.29165,1.4311,1.22491,1.12738,0.000539238,0.000539238,0.000539238
72,11030.1,1.44856,1.16708,1.12417,0.58677,0.49581,0.49756,0.29255,1.42722,1.22396,1.12605,0.000516126,0.000516126,0.000516126
73,11183.8,1.44631,1.16671,1.11559,0.58818,0.49614,0.49735,0.29217,1.42986,1.2257,1.12714,0.00049357,0.00049357,0.00049357
74,11336.9,1.44294,1.16054,1.11644,0.58584,0.50124,0.49821,0.29294,1.4282,1.22316,1.12679,0.000471593,0.000471593,0.000471593
75,11489.6,1.44444,1.16244,1.12174,0.58723,0.49942,0.4987,0.29315,1.42902,1.22333,1.12675,0.000450217,0.000450217,0.000450217
76,11643.7,1.43885,1.1543,1.118,0.59096,0.49744,0.49856,0.29307,1.4317,1.22419,1.12728,0.000429462,0.000429462,0.000429462
77,11797.4,1.439,1.15883,1.11768,0.59523,0.49558,0.4979,0.29289,1.42832,1.2223,1.12605,0.000409349,0.000409349,0.000409349
78,11952,1.44679,1.16871,1.12235,0.58507,0.50227,0.49772,0.29212,1.42772,1.22209,1.12629,0.000389898,0.000389898,0.000389898
79,12105.5,1.4429,1.15857,1.11761,0.58369,0.50184,0.49738,0.29249,1.42725,1.22485,1.12591,0.000371128,0.000371128,0.000371128
80,12259.5,1.44261,1.1597,1.12105,0.58316,0.50223,0.49876,0.29383,1.42673,1.22259,1.12588,0.000353057,0.000353057,0.000353057
81,12413.2,1.44075,1.15654,1.11405,0.58835,0.49957,0.49886,0.29372,1.42783,1.22424,1.12583,0.000335704,0.000335704,0.000335704
82,12567,1.4532,1.1696,1.11737,0.5809,0.50412,0.49841,0.29275,1.43023,1.22502,1.12634,0.000319086,0.000319086,0.000319086
83,12720.5,1.44902,1.16383,1.12128,0.58829,0.49758,0.49929,0.29402,1.42641,1.22229,1.1252,0.000303218,0.000303218,0.000303218
84,12874.8,1.44362,1.15608,1.11783,0.588,0.49934,0.49961,0.29381,1.43057,1.22516,1.12634,0.000288117,0.000288117,0.000288117
85,13028.4,1.44229,1.15882,1.11999,0.5863,0.50064,0.4986,0.29317,1.42908,1.22416,1.12656,0.000273798,0.000273798,0.000273798
86,13182.1,1.43123,1.14908,1.11573,0.5851,0.4995,0.49698,0.29276,1.42853,1.22444,1.1264,0.000260274,0.000260274,0.000260274
87,13336.4,1.43659,1.15404,1.11669,0.58823,0.50157,0.49903,0.29378,1.42858,1.22401,1.12602,0.000247559,0.000247559,0.000247559
88,13490.2,1.43597,1.14998,1.11786,0.58388,0.50179,0.49887,0.2931,1.43029,1.22348,1.12661,0.000235666,0.000235666,0.000235666
89,13644,1.43658,1.15209,1.11578,0.59353,0.49694,0.49829,0.29257,1.43093,1.22387,1.12689,0.000224606,0.000224606,0.000224606
90,13798.2,1.43731,1.15097,1.11372,0.58776,0.49923,0.4979,0.29283,1.42944,1.22305,1.12666,0.00021439,0.00021439,0.00021439
91,13948.6,1.39677,1.09814,1.12766,0.57968,0.50237,0.49573,0.29127,1.43531,1.22868,1.12899,0.000205028,0.000205028,0.000205028
92,14096.9,1.39358,1.09556,1.12942,0.57499,0.50364,0.49419,0.28964,1.4356,1.2299,1.12905,0.00019653,0.00019653,0.00019653
93,14245,1.38972,1.09089,1.12592,0.57905,0.49863,0.49425,0.28999,1.43619,1.22967,1.12887,0.000188903,0.000188903,0.000188903
94,14393,1.39068,1.0912,1.1239,0.58026,0.49701,0.49335,0.28979,1.43768,1.2311,1.12918,0.000182157,0.000182157,0.000182157
95,14540.8,1.39284,1.09345,1.12521,0.57999,0.49642,0.49269,0.28951,1.43804,1.22915,1.12921,0.000176296,0.000176296,0.000176296
96,14688.6,1.38767,1.08931,1.12442,0.57974,0.49716,0.49324,0.28959,1.43883,1.22884,1.12937,0.000171327,0.000171327,0.000171327
97,14836.6,1.38667,1.08561,1.12107,0.57884,0.49607,0.49352,0.29028,1.43706,1.22848,1.12922,0.000167254,0.000167254,0.000167254
98,14985.5,1.38658,1.08914,1.12666,0.57984,0.49725,0.49324,0.29004,1.4354,1.22771,1.1284,0.000164083,0.000164083,0.000164083
99,15133.6,1.38989,1.08659,1.12457,0.57668,0.4989,0.49347,0.29003,1.4349,1.22763,1.12817,0.000161815,0.000161815,0.000161815
100,15281.8,1.3921,1.09095,1.12383,0.57947,0.49972,0.49417,0.29027,1.43632,1.22719,1.12868,0.000160454,0.000160454,0.000160454
