epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.343,1.44329,1.15885,1.12885,0.57526,0.48572,0.4821,0.28104,1.46239,1.25633,1.14361,0.000998643,0.000998643,0.0510665
2,312.161,1.43688,1.14951,1.12324,0.57506,0.4878,0.48239,0.27854,1.46034,1.25802,1.14074,0.00199819,0.00199819,0.00206603
3,463.045,1.44521,1.1538,1.1286,0.56611,0.48961,0.47651,0.2758,1.47175,1.26247,1.1451,0.00199818,0.00199818,0.00199818
4,614.707,1.44133,1.15553,1.13008,0.5911,0.4756,0.47601,0.27334,1.48935,1.26702,1.14768,0.00199592,0.00199592,0.00199592
5,766.733,1.43463,1.14015,1.12221,0.57472,0.4835,0.47528,0.27261,1.48774,1.26613,1.14702,0.00199275,0.00199275,0.00199275
6,918.444,1.43995,1.14568,1.12441,0.57828,0.48645,0.47821,0.27612,1.45716,1.25782,1.14083,0.00198867,0.00198867,0.00198867
7,1070,1.43795,1.14876,1.12535,0.57573,0.48809,0.48237,0.27765,1.47184,1.26781,1.14341,0.0019837,0.0019837,0.0019837
8,1222.18,1.43829,1.13844,1.12584,0.57565,0.49246,0.48433,0.28148,1.46155,1.25391,1.14315,0.00197784,0.00197784,0.00197784
9,1373.97,1.42991,1.13544,1.12659,0.57011,0.49026,0.48043,0.2809,1.4464,1.24975,1.1389,0.0019711,0.0019711,0.0019711
10,1525.61,1.43066,1.13902,1.1266,0.58385,0.48812,0.48448,0.27742,1.49223,1.26316,1.14699,0.00196347,0.00196347,0.00196347
11,1676.77,1.43919,1.13895,1.1275,0.58058,0.47866,0.47962,0.27898,1.46373,1.25843,1.1413,0.00195497,0.00195497,0.00195497
12,1828.91,1.4335,1.13444,1.12072,0.57271,0.48516,0.47979,0.27809,1.47088,1.2552,1.14317,0.00194561,0.00194561,0.00194561
13,1980.76,1.43258,1.12508,1.12145,0.57249,0.48465,0.48017,0.27778,1.46352,1.24916,1.14144,0.00193539,0.00193539,0.00193539
