epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.055,1.51434,1.13045,1.03478,0.54134,0.42114,0.41841,0.23878,1.42779,1.10787,1.02034,0.00166328,0.00166328,0.0683977
2,212.669,1.5291,1.14875,1.03083,0.53703,0.42437,0.4143,0.23723,1.42088,1.11641,1.01826,0.00332917,0.00332917,0.0367302
3,314.471,1.53254,1.15831,1.038,0.51538,0.41879,0.39963,0.22517,1.43422,1.13007,1.02395,0.00499193,0.00499193,0.00505968
4,416.237,1.54892,1.17977,1.05021,0.52662,0.42029,0.40185,0.22494,1.46805,1.1373,1.02988,0.00498946,0.00498946,0.00498946
5,518.073,1.5568,1.18738,1.047,0.534,0.41787,0.40757,0.22987,1.42702,1.13546,1.02377,0.00498127,0.00498127,0.00498127
6,619.557,1.55563,1.18667,1.04522,0.49848,0.41742,0.3949,0.22326,1.4446,1.15058,1.02567,0.00497076,0.00497076,0.00497076
7,721.354,1.55891,1.18555,1.04696,0.5104,0.42018,0.40308,0.22557,1.47791,1.13636,1.03107,0.00495793,0.00495793,0.00495793
8,822.624,1.54787,1.1795,1.05173,0.52297,0.42441,0.41366,0.23518,1.42818,1.11651,1.02225,0.0049428,0.0049428,0.0049428
9,924.155,1.55206,1.17874,1.04454,0.5192,0.42101,0.40466,0.22825,1.44646,1.12871,1.02651,0.00492539,0.00492539,0.00492539
10,1025.78,1.5561,1.18168,1.04414,0.52201,0.42484,0.40635,0.23085,1.43515,1.1281,1.0217,0.0049057,0.0049057,0.0049057
11,1127.29,1.55116,1.17504,1.04636,0.53154,0.40728,0.40805,0.23298,1.44037,1.13241,1.02525,0.00488376,0.00488376,0.00488376
12,1228.52,1.55284,1.18269,1.04323,0.51446,0.42068,0.40988,0.23255,1.43525,1.12829,1.0234,0.00485959,0.00485959,0.00485959
13,1329.96,1.54544,1.18069,1.04777,0.50512,0.42985,0.41286,0.23062,1.45421,1.12687,1.02672,0.00483322,0.00483322,0.00483322
14,1431.23,1.55269,1.17781,1.04419,0.52659,0.4212,0.41063,0.22926,1.45292,1.12339,1.02794,0.00480467,0.00480467,0.00480467
15,1532.44,1.53725,1.16499,1.04434,0.53546,0.42189,0.413,0.23216,1.45514,1.13031,1.02639,0.00477396,0.00477396,0.00477396
16,1633.79,1.54371,1.16929,1.04446,0.53346,0.4129,0.40729,0.22995,1.43998,1.12723,1.02364,0.00474114,0.00474114,0.00474114
17,1735.43,1.5336,1.15267,1.03919,0.52728,0.42583,0.4153,0.23421,1.45787,1.12478,1.02961,0.00470623,0.00470623,0.00470623
18,1837.27,1.54747,1.1668,1.04081,0.53367,0.42525,0.41373,0.2335,1.43973,1.11731,1.02435,0.00466926,0.00466926,0.00466926
19,1938.82,1.54437,1.16615,1.04176,0.51642,0.43034,0.41828,0.23469,1.4463,1.11405,1.02586,0.00463028,0.00463028,0.00463028
20,2040.37,1.53277,1.14974,1.04211,0.54083,0.42779,0.41547,0.23504,1.41722,1.10917,1.01881,0.00458932,0.00458932,0.00458932
21,2142.1,1.53572,1.15311,1.03893,0.53186,0.42289,0.41403,0.23459,1.42721,1.11313,1.01954,0.00454642,0.00454642,0.00454642
22,2243.78,1.53477,1.15434,1.04035,0.53495,0.42792,0.41803,0.23706,1.41483,1.10513,1.01659,0.00450162,0.00450162,0.00450162
23,2345.53,1.5231,1.14261,1.04219,0.52905,0.42497,0.41139,0.23455,1.41464,1.11062,1.01827,0.00445497,0.00445497,0.00445497
24,2446.9,1.5225,1.14465,1.04134,0.52554,0.42753,0.41936,0.2412,1.41195,1.1042,1.01784,0.00440651,0.00440651,0.00440651
25,2548.63,1.52921,1.14611,1.03866,0.54031,0.42954,0.42119,0.23804,1.42134,1.10876,1.01647,0.0043563,0.0043563,0.0043563
26,2650.65,1.52956,1.14684,1.03814,0.53802,0.42745,0.41823,0.23541,1.43863,1.10759,1.02248,0.00430438,0.00430438,0.00430438
27,2752.11,1.52058,1.14375,1.03911,0.53366,0.42991,0.41865,0.23604,1.43792,1.10886,1.02241,0.0042508,0.0042508,0.0042508
28,2853.93,1.51574,1.13139,1.03693,0.53354,0.43642,0.42079,0.23818,1.42139,1.1053,1.01989,0.00419562,0.00419562,0.00419562
29,2955.65,1.51705,1.13211,1.03528,0.53158,0.43141,0.42025,0.23606,1.43901,1.10573,1.02344,0.00413888,0.00413888,0.00413888
30,3057.35,1.50972,1.12397,1.03949,0.53689,0.43689,0.4237,0.24223,1.41784,1.09782,1.01736,0.00408065,0.00408065,0.00408065
31,3159.38,1.52089,1.13318,1.03442,0.54846,0.43101,0.42436,0.24017,1.42501,1.09788,1.01971,0.00402099,0.00402099,0.00402099
32,3261.09,1.5205,1.13561,1.03517,0.54799,0.4308,0.4254,0.23365,1.49518,1.10677,1.03133,0.00395995,0.00395995,0.00395995
33,3363.08,1.52012,1.13219,1.03172,0.5397,0.4361,0.42586,0.24164,1.40962,1.08946,1.01713,0.00389759,0.00389759,0.00389759
34,3465.12,1.51671,1.11891,1.03517,0.54556,0.43324,0.42708,0.24266,1.42925,1.09501,1.02087,0.00383397,0.00383397,0.00383397
35,3566.82,1.50496,1.11483,1.0339,0.54437,0.43436,0.42874,0.24399,1.41587,1.08672,1.01731,0.00376916,0.00376916,0.00376916
36,3668.35,1.50888,1.11904,1.03558,0.54713,0.4346,0.42695,0.24134,1.43163,1.08841,1.02097,0.00370323,0.00370323,0.00370323
37,3769.94,1.50574,1.11594,1.03299,0.55249,0.43424,0.42984,0.24512,1.40101,1.08317,1.01292,0.00363623,0.00363623,0.00363623
38,3871.54,1.50812,1.11855,1.03455,0.54064,0.43648,0.42719,0.24099,1.42967,1.09043,1.02052,0.00356823,0.00356823,0.00356823
39,3973.41,1.51205,1.11763,1.03447,0.54645,0.43684,0.42975,0.24343,1.41161,1.08299,1.01611,0.0034993,0.0034993,0.0034993
40,4075.15,1.49594,1.10453,1.03034,0.54682,0.43943,0.43064,0.24516,1.40568,1.08798,1.01563,0.0034295,0.0034295,0.0034295
41,4176.73,1.4893,1.10439,1.03656,0.5504,0.43808,0.43302,0.24801,1.40533,1.08048,1.01501,0.00335892,0.00335892,0.00335892
42,4278.7,1.49653,1.10631,1.0299,0.55745,0.43521,0.43111,0.2474,1.39141,1.0681,1.0109,0.0032876,0.0032876,0.0032876
43,4380.43,1.49901,1.10277,1.0284,0.54136,0.44283,0.43006,0.24769,1.39934,1.07677,1.01494,0.00321564,0.00321564,0.00321564
