epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.3,1.51231,1.12694,1.03269,0.52743,0.42521,0.41442,0.23428,1.41747,1.10948,1.01615,0.00166328,0.00166328,0.0683977
2,216.461,1.52627,1.14626,1.02857,0.51584,0.42292,0.40652,0.2309,1.41831,1.12546,1.01487,0.00332917,0.00332917,0.0367302
3,319.818,1.53126,1.15704,1.03574,0.51625,0.41443,0.40521,0.22832,1.42509,1.12172,1.02088,0.00499193,0.00499193,0.00505968
4,423.113,1.54916,1.17815,1.04823,0.51783,0.42035,0.40411,0.22677,1.44902,1.13464,1.02423,0.00498946,0.00498946,0.00498946
5,526.347,1.55479,1.18391,1.04514,0.50786,0.41512,0.40336,0.22714,1.42866,1.14374,1.02047,0.00498127,0.00498127,0.00498127
6,629.54,1.55319,1.18578,1.0424,0.50085,0.4115,0.39582,0.2244,1.43671,1.15831,1.01966,0.00497076,0.00497076,0.00497076
7,733.056,1.55818,1.18475,1.04427,0.52254,0.41148,0.39909,0.22261,1.45296,1.1383,1.02509,0.00495793,0.00495793,0.00495793
8,836.313,1.54512,1.17808,1.04874,0.49797,0.41932,0.39878,0.22498,1.42301,1.13876,1.01898,0.0049428,0.0049428,0.0049428
9,939.559,1.55253,1.17801,1.04313,0.51353,0.42763,0.40317,0.22321,1.43999,1.13395,1.02083,0.00492539,0.00492539,0.00492539
10,1042.91,1.55511,1.18113,1.04095,0.5189,0.41212,0.39999,0.22502,1.44093,1.13643,1.02149,0.0049057,0.0049057,0.0049057
11,1145.95,1.54808,1.17226,1.04354,0.50774,0.4253,0.40526,0.22572,1.45403,1.12995,1.02586,0.00488376,0.00488376,0.00488376
12,1248.81,1.55321,1.1807,1.04115,0.50324,0.41734,0.40753,0.22783,1.43998,1.13316,1.02323,0.00485959,0.00485959,0.00485959
13,1351.66,1.54467,1.17724,1.04522,0.51844,0.42511,0.41181,0.23001,1.45033,1.12834,1.02272,0.00483322,0.00483322,0.00483322
14,1454.36,1.55006,1.17361,1.04163,0.50257,0.4218,0.40214,0.22661,1.43728,1.1276,1.02179,0.00480467,0.00480467,0.00480467
15,1557.18,1.53649,1.16355,1.04182,0.53079,0.41654,0.41007,0.23184,1.42944,1.11948,1.0187,0.00477396,0.00477396,0.00477396
16,1659.98,1.54338,1.16848,1.04206,0.52185,0.41657,0.40872,0.23321,1.41892,1.11822,1.01977,0.00474114,0.00474114,0.00474114
17,1763.21,1.53402,1.1528,1.03647,0.5198,0.42604,0.40964,0.23024,1.43554,1.12284,1.02103,0.00470623,0.00470623,0.00470623
18,1866.67,1.54664,1.16584,1.03884,0.52421,0.4253,0.41418,0.23425,1.42302,1.11238,1.01838,0.00466926,0.00466926,0.00466926
19,1969.92,1.54549,1.16421,1.03883,0.53897,0.42023,0.41442,0.23221,1.45173,1.11683,1.02581,0.00463028,0.00463028,0.00463028
20,2073.44,1.53217,1.14715,1.03985,0.51615,0.43005,0.40934,0.23089,1.41064,1.11306,1.01676,0.00458932,0.00458932,0.00458932
21,2177.13,1.5357,1.15123,1.03716,0.53298,0.42551,0.41367,0.2303,1.45784,1.12311,1.02596,0.00454642,0.00454642,0.00454642
22,2280.27,1.53365,1.15319,1.03833,0.52912,0.42853,0.41465,0.23518,1.41883,1.10521,1.01714,0.00450162,0.00450162,0.00450162
23,2383.85,1.52215,1.1408,1.04023,0.51691,0.43264,0.41532,0.23474,1.42358,1.11006,1.0191,0.00445497,0.00445497,0.00445497
24,2487.19,1.52124,1.14341,1.03936,0.52424,0.42907,0.41818,0.23747,1.41112,1.10806,1.01707,0.00440651,0.00440651,0.00440651
25,2590.69,1.52746,1.14436,1.03654,0.53712,0.42932,0.42194,0.23702,1.43676,1.10356,1.02004,0.0043563,0.0043563,0.0043563
26,2694.44,1.52674,1.14423,1.03543,0.53388,0.43654,0.42107,0.23539,1.44304,1.10594,1.02267,0.00430438,0.00430438,0.00430438
27,2797.65,1.51987,1.14312,1.03682,0.53293,0.43386,0.42098,0.23714,1.42415,1.10623,1.01705,0.0042508,0.0042508,0.0042508
28,2901.13,1.51566,1.13198,1.034,0.53837,0.42574,0.41802,0.23606,1.41794,1.10637,1.01765,0.00419562,0.00419562,0.00419562
29,3004.56,1.51634,1.13026,1.03267,0.53131,0.4374,0.42372,0.2362,1.4406,1.10721,1.01999,0.00413888,0.00413888,0.00413888
30,3107.82,1.50837,1.12332,1.03606,0.54614,0.43816,0.42544,0.24096,1.43058,1.09704,1.01963,0.00408065,0.00408065,0.00408065
31,3211.43,1.52125,1.13345,1.03135,0.54433,0.4319,0.42344,0.23997,1.4222,1.09739,1.01554,0.00402099,0.00402099,0.00402099
32,3315.36,1.51931,1.13276,1.03224,0.53638,0.43351,0.42227,0.23898,1.42668,1.09556,1.01737,0.00395995,0.00395995,0.00395995
33,3419.35,1.51734,1.13128,1.0292,0.52459,0.43478,0.42497,0.24057,1.41165,1.08753,1.01628,0.00389759,0.00389759,0.00389759
34,3523.47,1.51499,1.11934,1.03246,0.5313,0.43264,0.42146,0.23899,1.41969,1.09592,1.01699,0.00383397,0.00383397,0.00383397
35,3627.21,1.50299,1.11452,1.03066,0.54397,0.42941,0.42318,0.24076,1.40594,1.08649,1.01395,0.00376916,0.00376916,0.00376916
36,3731.03,1.50686,1.11767,1.03284,0.55233,0.43036,0.42578,0.23867,1.42086,1.08728,1.01674,0.00370323,0.00370323,0.00370323
37,3834.68,1.50392,1.11215,1.03063,0.5471,0.43053,0.42828,0.24305,1.41029,1.08637,1.01365,0.00363623,0.00363623,0.00363623
38,3938.48,1.50591,1.11705,1.03201,0.53473,0.43351,0.42293,0.23927,1.41558,1.08917,1.0159,0.00356823,0.00356823,0.00356823
39,4042.79,1.5096,1.11615,1.03179,0.53705,0.43539,0.4241,0.24054,1.40678,1.08901,1.01309,0.0034993,0.0034993,0.0034993
40,4147,1.49318,1.10169,1.02776,0.5264,0.44153,0.42439,0.24057,1.40963,1.08944,1.01391,0.0034295,0.0034295,0.0034295
41,4251.05,1.48584,1.10203,1.03335,0.53792,0.43777,0.42796,0.24546,1.39355,1.08392,1.01172,0.00335892,0.00335892,0.00335892
42,4354.27,1.49179,1.10263,1.02696,0.52822,0.44749,0.42637,0.24411,1.40507,1.08437,1.01323,0.0032876,0.0032876,0.0032876
