epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.227,1.72618,1.80322,1.1277,0.44975,0.34431,0.32055,0.14849,1.85747,1.28918,1.1332,0.00199864,0.00199864,0.0820122
2,420.626,1.61498,1.38025,1.06306,0.46783,0.39229,0.36268,0.20156,1.45882,1.15094,1.02128,0.00399856,0.00399856,0.0640121
3,623.919,1.60111,1.32522,1.05286,0.49173,0.41912,0.39274,0.21198,1.49527,1.13332,1.02929,0.00599816,0.00599816,0.0460117
4,825.394,1.61407,1.3292,1.05872,0.49975,0.41329,0.39348,0.2166,1.44444,1.12632,1.02478,0.00799721,0.00799721,0.0280108
5,1027.82,1.63535,1.34752,1.06031,0.47733,0.40683,0.38726,0.20721,1.49813,1.14586,1.03489,0.00999545,0.00999545,0.010009
6,1227.25,1.64294,1.3501,1.07104,0.49297,0.4092,0.38653,0.20391,1.51602,1.14046,1.04368,0.00999502,0.00999502,0.00999502
7,1427.42,1.62167,1.31375,1.06167,0.50682,0.41163,0.39731,0.21773,1.45818,1.13921,1.03301,0.00999282,0.00999282,0.00999282
8,1626.58,1.60402,1.28944,1.05983,0.50765,0.42309,0.40975,0.22384,1.44768,1.11094,1.03412,0.00999023,0.00999023,0.00999023
9,1826.13,1.58324,1.25928,1.05126,0.51311,0.41911,0.39962,0.22011,1.44351,1.11273,1.02095,0.00998724,0.00998724,0.00998724
10,2026.79,1.58668,1.24896,1.04721,0.53436,0.43723,0.42618,0.23498,1.43642,1.07886,1.01574,0.00998386,0.00998386,0.00998386
11,2225.78,1.56051,1.21589,1.04731,0.52617,0.4367,0.42894,0.2378,1.41624,1.07389,1.01925,0.00998007,0.00998007,0.00998007
12,2426.51,1.55448,1.20721,1.04299,0.53697,0.45695,0.44611,0.24917,1.41186,1.05194,1.01617,0.00997589,0.00997589,0.00997589
13,2627.44,1.55787,1.19829,1.03747,0.53548,0.44676,0.44004,0.25129,1.34474,1.04059,1.00163,0.00997131,0.00997131,0.00997131
14,2828.5,1.54047,1.18267,1.03277,0.53936,0.45686,0.44612,0.24872,1.39409,1.04974,1.00675,0.00996634,0.00996634,0.00996634
15,3028.93,1.52992,1.17609,1.03097,0.54964,0.46438,0.45498,0.25622,1.37972,1.02605,1.00338,0.00996097,0.00996097,0.00996097
16,3229.41,1.53217,1.16832,1.03487,0.55068,0.46274,0.45588,0.262,1.32658,1.01465,0.99994,0.0099552,0.0099552,0.0099552
