epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,430.573,2.56383,3.03172,2.52977,0.1897,0.24735,0.15134,0.05806,2.10464,2.01045,2.08473,0.00199932,0.00199932,0.0820061
2,836.258,2.02481,2.19251,1.88254,0.31604,0.31436,0.22715,0.09714,1.91449,1.74483,1.86765,0.00399924,0.00399924,0.064006
3,1244.22,1.91182,2.00173,1.75549,0.35557,0.3485,0.26473,0.11921,1.80018,1.63029,1.75672,0.00599884,0.00599884,0.0460056
4,1653.62,1.86908,1.92813,1.70992,0.39646,0.36061,0.29383,0.13992,1.74138,1.60609,1.69627,0.00799789,0.00799789,0.0280047
5,2063.55,1.8403,1.87884,1.66972,0.39454,0.3555,0.29589,0.1462,1.69992,1.56396,1.66249,0.00999613,0.00999613,0.0100029
6,2489.48,1.81783,1.83524,1.65363,0.4018,0.37113,0.30858,0.15984,1.59452,1.49243,1.58214,0.00999502,0.00999502,0.00999502
7,2900.15,1.78879,1.7545,1.61923,0.41584,0.38655,0.33096,0.17056,1.6231,1.4624,1.5944,0.00999282,0.00999282,0.00999282
8,3309.83,1.74623,1.69225,1.60033,0.42712,0.40207,0.3406,0.17362,1.6341,1.44818,1.58958,0.00999023,0.00999023,0.00999023
9,3730.66,1.73546,1.6551,1.58078,0.43989,0.41807,0.35744,0.19168,1.54976,1.39987,1.54582,0.00998724,0.00998724,0.00998724
10,4139.65,1.71756,1.6083,1.55659,0.45785,0.41498,0.36668,0.19689,1.56274,1.38217,1.5332,0.00998386,0.00998386,0.00998386
11,4546.89,1.69188,1.57446,1.55496,0.47274,0.43585,0.39239,0.20898,1.54998,1.34911,1.53267,0.00998007,0.00998007,0.00998007
12,4955.95,1.68217,1.54949,1.54046,0.46855,0.43392,0.39222,0.2155,1.52978,1.32223,1.51151,0.00997589,0.00997589,0.00997589
13,5363.83,1.67828,1.52641,1.52249,0.48463,0.44043,0.40395,0.22402,1.51066,1.31006,1.50085,0.00997131,0.00997131,0.00997131
14,5771.35,1.65728,1.49648,1.51593,0.49039,0.43437,0.39837,0.21322,1.57355,1.31808,1.52898,0.00996634,0.00996634,0.00996634
15,6177.61,1.65043,1.47617,1.5076,0.47507,0.44,0.40621,0.22665,1.48406,1.29901,1.48068,0.00996097,0.00996097,0.00996097
16,6585.23,1.64359,1.46864,1.50434,0.50411,0.43671,0.4128,0.22798,1.49924,1.26108,1.48186,0.0099552,0.0099552,0.0099552
17,6993.24,1.63246,1.44706,1.49053,0.5094,0.45135,0.4233,0.23712,1.48848,1.24872,1.46871,0.00994904,0.00994904,0.00994904
18,7401.58,1.62811,1.43327,1.47986,0.52757,0.45642,0.44116,0.243,1.52575,1.24092,1.48737,0.00994248,0.00994248,0.00994248
19,7807.33,1.61804,1.41697,1.47659,0.51275,0.44739,0.42781,0.24146,1.46676,1.22702,1.45827,0.00993553,0.00993553,0.00993553
20,8212.7,1.60958,1.41039,1.47318,0.52836,0.45574,0.43939,0.25092,1.45385,1.2293,1.44332,0.00992819,0.00992819,0.00992819
21,8619.2,1.60824,1.39055,1.46851,0.52842,0.44779,0.43317,0.24392,1.46875,1.21167,1.45209,0.00992045,0.00992045,0.00992045
22,9027.1,1.61046,1.3893,1.46213,0.53821,0.46611,0.44237,0.25154,1.43165,1.20566,1.43104,0.00991232,0.00991232,0.00991232
23,9434.48,1.58161,1.35408,1.4461,0.53722,0.47141,0.45567,0.26114,1.43802,1.18763,1.42985,0.0099038,0.0099038,0.0099038
24,9842.98,1.59626,1.36892,1.45242,0.53787,0.47,0.45073,0.25324,1.46269,1.18577,1.4414,0.00989489,0.00989489,0.00989489
25,10251.2,1.58658,1.35611,1.44831,0.54764,0.47772,0.45623,0.25697,1.46183,1.18955,1.43745,0.00988559,0.00988559,0.00988559
26,10658.5,1.58455,1.34458,1.44071,0.52742,0.47238,0.45694,0.26189,1.44398,1.1736,1.42447,0.00987589,0.00987589,0.00987589
27,11065.9,1.57116,1.3252,1.42584,0.53327,0.48396,0.45876,0.25921,1.45461,1.16722,1.43023,0.00986581,0.00986581,0.00986581
28,11472.2,1.57518,1.33844,1.44379,0.54762,0.47021,0.45664,0.2619,1.43462,1.17132,1.41895,0.00985534,0.00985534,0.00985534
29,11880.6,1.56859,1.32976,1.43144,0.53746,0.4765,0.46239,0.26498,1.4376,1.16151,1.41641,0.00984449,0.00984449,0.00984449
30,12284.8,1.57619,1.33564,1.42887,0.54234,0.47818,0.46155,0.26397,1.44323,1.16608,1.41398,0.00983324,0.00983324,0.00983324
31,12685.3,1.56716,1.32424,1.42009,0.54389,0.48338,0.4715,0.27109,1.43509,1.16004,1.40628,0.00982162,0.00982162,0.00982162
32,13085.8,1.56968,1.32212,1.41819,0.54059,0.48321,0.47155,0.27289,1.42496,1.15241,1.40007,0.0098096,0.0098096,0.0098096
33,13487.3,1.55972,1.30483,1.40837,0.56205,0.48285,0.47779,0.27547,1.43098,1.14187,1.39967,0.00979721,0.00979721,0.00979721
34,13884.7,1.56481,1.31078,1.40776,0.5423,0.48836,0.47258,0.27466,1.41777,1.15091,1.38898,0.00978443,0.00978443,0.00978443
35,14285.3,1.564,1.30667,1.4089,0.55459,0.48298,0.4763,0.27767,1.41584,1.14057,1.39046,0.00977127,0.00977127,0.00977127
36,14684.4,1.55683,1.29618,1.40609,0.57707,0.48612,0.4862,0.28208,1.41583,1.12986,1.38799,0.00975773,0.00975773,0.00975773
37,15084.9,1.53899,1.27546,1.39442,0.55834,0.49877,0.48832,0.28561,1.39402,1.13428,1.37275,0.00974381,0.00974381,0.00974381
38,15482.6,1.54551,1.29825,1.4069,0.56997,0.49294,0.4918,0.28726,1.40321,1.12478,1.37887,0.00972951,0.00972951,0.00972951
39,15883.5,1.538,1.28338,1.39203,0.56018,0.50093,0.48063,0.28088,1.40822,1.12844,1.372,0.00971484,0.00971484,0.00971484
40,16285.7,1.53713,1.27942,1.37799,0.56441,0.50224,0.49192,0.28819,1.38747,1.12374,1.36518,0.00969979,0.00969979,0.00969979
41,16685.2,1.52534,1.26924,1.3799,0.55576,0.49892,0.48634,0.28468,1.3912,1.1264,1.36362,0.00968436,0.00968436,0.00968436
42,17085.6,1.52963,1.2669,1.37576,0.56518,0.49817,0.48807,0.28512,1.40529,1.11359,1.36835,0.00966856,0.00966856,0.00966856
