epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.8103,2.87771,2.72517,1.56333,0.14706,0.14349,0.08446,0.03354,2.31797,1.76862,1.22092,0.00199458,0.00199458,0.0820488
2,193.33,2.16331,1.78782,1.18025,0.22793,0.18179,0.12662,0.05959,1.97397,1.53359,1.0927,0.0039936,0.0039936,0.0640478
3,288.448,2.0817,1.65832,1.14391,0.35913,0.20327,0.1453,0.06626,1.98971,1.43443,1.08492,0.00598872,0.00598872,0.0460429
4,383.492,2.02569,1.60252,1.12597,0.24253,0.21862,0.1496,0.06913,1.94832,1.44303,1.082,0.00797702,0.00797702,0.0280312
5,478.537,2.02171,1.56714,1.11956,0.27187,0.23567,0.16958,0.07753,1.97358,1.40624,1.08661,0.00995557,0.00995557,0.0100098
6,573.895,2.00466,1.55395,1.10836,0.28593,0.22495,0.17496,0.08132,1.91299,1.39297,1.0644,0.00993906,0.00993906,0.00993906
7,669.666,1.97583,1.50464,1.09635,0.29656,0.25514,0.19884,0.09739,1.7811,1.32163,1.02242,0.00991232,0.00991232,0.00991232
8,765.514,1.9292,1.44902,1.08813,0.3099,0.2517,0.20078,0.10277,1.72455,1.28035,1.01192,0.00988079,0.00988079,0.00988079
9,861.631,1.90283,1.43013,1.07631,0.3561,0.26392,0.22822,0.11436,1.71765,1.2449,1.00732,0.00984449,0.00984449,0.00984449
10,957.75,1.87311,1.39603,1.06791,0.34772,0.28038,0.22751,0.10949,1.77041,1.26295,1.00597,0.00980345,0.00980345,0.00980345
11,1053.68,1.85493,1.37902,1.05706,0.3602,0.28354,0.24015,0.12019,1.70652,1.21165,1.00018,0.00975773,0.00975773,0.00975773
12,1150.12,1.84098,1.3591,1.0527,0.36351,0.29405,0.24456,0.12374,1.66503,1.2159,0.98354,0.00970736,0.00970736,0.00970736
13,1246.53,1.82494,1.33493,1.05123,0.36699,0.30374,0.25646,0.13184,1.60952,1.16049,0.97478,0.00965239,0.00965239,0.00965239
14,1342.59,1.80758,1.31825,1.03875,0.3707,0.29819,0.25754,0.13284,1.61812,1.16904,0.97585,0.00959289,0.00959289,0.00959289
15,1439.07,1.80603,1.31636,1.04079,0.35456,0.30313,0.25929,0.13521,1.58379,1.18548,0.97035,0.00952889,0.00952889,0.00952889
16,1535.3,1.79329,1.30217,1.04186,0.38654,0.31421,0.27479,0.14428,1.5718,1.1344,0.9661,0.00946048,0.00946048,0.00946048
17,1631.6,1.78021,1.28451,1.03286,0.38492,0.31426,0.27029,0.14432,1.54867,1.13181,0.96371,0.00938772,0.00938772,0.00938772
18,1727.88,1.7692,1.27116,1.02449,0.41569,0.31647,0.27897,0.14775,1.57518,1.141,0.96603,0.00931067,0.00931067,0.00931067
19,1824.32,1.75189,1.25532,1.02854,0.40379,0.3171,0.28573,0.1498,1.56204,1.11738,0.95952,0.00922942,0.00922942,0.00922942
20,1920.46,1.74365,1.24609,1.02349,0.40515,0.31711,0.28857,0.14922,1.58682,1.12319,0.96492,0.00914405,0.00914405,0.00914405
21,2016.7,1.74814,1.2483,1.02153,0.41497,0.31937,0.28977,0.15201,1.54175,1.10547,0.95525,0.00905463,0.00905463,0.00905463
22,2113.11,1.74392,1.24393,1.02049,0.41663,0.32628,0.29298,0.15291,1.54935,1.10816,0.95258,0.00896127,0.00896127,0.00896127
23,2209.37,1.72828,1.22863,1.0123,0.41468,0.32013,0.29093,0.15477,1.53093,1.09653,0.95607,0.00886404,0.00886404,0.00886404
24,2305.67,1.73812,1.2261,1.01147,0.41986,0.33239,0.3018,0.16061,1.52515,1.08173,0.9502,0.00876305,0.00876305,0.00876305
25,2401.96,1.73825,1.22788,1.01375,0.43622,0.33286,0.30598,0.16317,1.51075,1.07393,0.94561,0.00865839,0.00865839,0.00865839
26,2498.12,1.71855,1.21217,1.00955,0.41936,0.33264,0.30669,0.16302,1.50028,1.08033,0.94263,0.00855018,0.00855018,0.00855018
27,2594.02,1.70436,1.20053,1.00862,0.42793,0.33434,0.29852,0.15915,1.50959,1.08826,0.94307,0.00843851,0.00843851,0.00843851
28,2689.99,1.70425,1.20213,1.00835,0.41862,0.34136,0.30614,0.16584,1.50679,1.06832,0.94249,0.00832349,0.00832349,0.00832349
29,2786.06,1.70286,1.20231,1.00344,0.43685,0.34557,0.3169,0.17104,1.48416,1.05616,0.94069,0.00820525,0.00820525,0.00820525
30,2881.94,1.70088,1.19208,1.00557,0.43632,0.3369,0.31646,0.17057,1.48597,1.05696,0.94099,0.00808389,0.00808389,0.00808389
31,2977.7,1.69571,1.18967,1.00314,0.44929,0.33934,0.31522,0.16718,1.52222,1.05726,0.94684,0.00795954,0.00795954,0.00795954
32,3073.73,1.68618,1.1752,0.99784,0.44946,0.3467,0.32544,0.17344,1.49784,1.04778,0.93916,0.00783231,0.00783231,0.00783231
33,3169.72,1.69606,1.1868,0.99998,0.44822,0.34196,0.31697,0.17079,1.46535,1.03937,0.93494,0.00770234,0.00770234,0.00770234
34,3265.43,1.6784,1.16223,0.99711,0.44536,0.35593,0.32604,0.17571,1.48102,1.03987,0.93819,0.00756976,0.00756976,0.00756976
35,3361.5,1.68008,1.16804,0.99484,0.45484,0.34894,0.32056,0.17431,1.46772,1.04732,0.9344,0.00743468,0.00743468,0.00743468
36,3457.46,1.66975,1.15468,0.99598,0.4523,0.35383,0.33191,0.17855,1.47583,1.03598,0.93138,0.00729725,0.00729725,0.00729725
37,3553.6,1.65136,1.14035,0.98652,0.44916,0.35606,0.32844,0.17918,1.46859,1.03396,0.9334,0.00715761,0.00715761,0.00715761
38,3649.66,1.65609,1.15028,0.99603,0.44889,0.35382,0.33165,0.17584,1.50665,1.03755,0.93716,0.00701588,0.00701588,0.00701588
39,3745.62,1.66408,1.14748,0.9918,0.45656,0.35208,0.33123,0.18164,1.45628,1.02016,0.92989,0.00687222,0.00687222,0.00687222
40,3841.89,1.66801,1.14982,0.98937,0.46163,0.36075,0.3356,0.18385,1.45131,1.02749,0.92894,0.00672675,0.00672675,0.00672675
41,3937.88,1.64768,1.13164,0.98792,0.46032,0.36414,0.3386,0.18699,1.45239,1.01243,0.93006,0.00657963,0.00657963,0.00657963
42,4033.61,1.6461,1.12362,0.98455,0.45194,0.36505,0.33639,0.18458,1.4472,1.01242,0.92682,0.00643101,0.00643101,0.00643101
43,4130.38,1.64196,1.12595,0.98367,0.46544,0.3589,0.33857,0.18431,1.46072,1.01821,0.92885,0.00628101,0.00628101,0.00628101
44,4225.21,1.63281,1.12197,0.98644,0.46448,0.35974,0.33806,0.18515,1.44085,1.01294,0.92571,0.00612981,0.00612981,0.00612981
45,4320.69,1.62108,1.10495,0.97922,0.48899,0.35931,0.34415,0.18835,1.44229,0.99942,0.92638,0.00597754,0.00597754,0.00597754
46,4416.24,1.63348,1.11926,0.98269,0.485,0.36557,0.34649,0.1897,1.44168,1.00378,0.92518,0.00582435,0.00582435,0.00582435
47,4511.89,1.62382,1.10343,0.98421,0.48839,0.36519,0.35044,0.19224,1.44059,0.99906,0.92538,0.0056704,0.0056704,0.0056704
48,4607.7,1.62214,1.10469,0.98277,0.47514,0.36736,0.35237,0.19219,1.45943,0.99838,0.9275,0.00551584,0.00551584,0.00551584
49,4703.72,1.61903,1.09729,0.97923,0.47552,0.37278,0.35117,0.19306,1.42496,0.99065,0.92284,0.00536081,0.00536081,0.00536081
50,4799.61,1.6154,1.09559,0.97701,0.47708,0.36287,0.34684,0.19183,1.42345,0.99392,0.92237,0.00520548,0.00520548,0.00520548
51,4895.37,1.6066,1.0931,0.97845,0.47978,0.37091,0.35322,0.19337,1.43189,0.99366,0.92372,0.00505,0.00505,0.00505
52,4991.03,1.60131,1.08429,0.97679,0.47778,0.37617,0.3558,0.1949,1.4316,0.98779,0.92183,0.00489452,0.00489452,0.00489452
53,5086.94,1.61417,1.09612,0.97764,0.4841,0.37841,0.35532,0.19544,1.42639,0.98615,0.92029,0.00473919,0.00473919,0.00473919
54,5182.74,1.59546,1.07353,0.97325,0.48744,0.37773,0.35869,0.19662,1.45034,0.9929,0.92407,0.00458416,0.00458416,0.00458416
