epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,334.625,1.46816,1.26828,1.3372,0.58993,0.51334,0.51148,0.29971,1.55153,1.41667,1.40318,0.000999322,0.000999322,0.0510332
2,659.229,1.47087,1.2692,1.34041,0.5854,0.51684,0.51196,0.29768,1.559,1.4154,1.40711,0.00199887,0.00199887,0.00203279
3,982.624,1.47619,1.27639,1.34105,0.59829,0.51096,0.5125,0.29909,1.56372,1.41984,1.41034,0.00199818,0.00199818,0.00199818
4,1306.01,1.48071,1.27811,1.34698,0.57923,0.51737,0.51037,0.29813,1.55271,1.41842,1.40821,0.00199592,0.00199592,0.00199592
5,1628.82,1.4736,1.2703,1.34509,0.58766,0.50702,0.50491,0.29613,1.55633,1.42431,1.40597,0.00199275,0.00199275,0.00199275
6,1957.87,1.47549,1.2771,1.34714,0.58102,0.51446,0.51122,0.29981,1.55709,1.42261,1.40529,0.00198867,0.00198867,0.00198867
7,2280.83,1.47844,1.27771,1.34442,0.59661,0.50934,0.51155,0.29881,1.55729,1.42016,1.40718,0.0019837,0.0019837,0.0019837
8,2602.87,1.46816,1.266,1.34034,0.57471,0.52475,0.51404,0.29945,1.56962,1.40979,1.41212,0.00197784,0.00197784,0.00197784
9,2925.72,1.46974,1.2666,1.34157,0.58778,0.51736,0.51041,0.29946,1.55242,1.41343,1.40528,0.0019711,0.0019711,0.0019711
10,3248.26,1.46986,1.26133,1.34424,0.57771,0.51932,0.51418,0.30237,1.54773,1.41255,1.40292,0.00196347,0.00196347,0.00196347
11,3571.8,1.47347,1.26469,1.34047,0.5947,0.51459,0.51371,0.2994,1.56898,1.41057,1.41239,0.00195497,0.00195497,0.00195497
12,3894.74,1.46186,1.25391,1.33575,0.58685,0.51604,0.51484,0.30415,1.5364,1.40428,1.39806,0.00194561,0.00194561,0.00194561
13,4217.89,1.47208,1.25858,1.33689,0.57351,0.52336,0.51274,0.29946,1.56413,1.41029,1.412,0.00193539,0.00193539,0.00193539
14,4545.83,1.46928,1.25956,1.3409,0.57691,0.52381,0.51113,0.29646,1.56193,1.41308,1.40817,0.00192433,0.00192433,0.00192433
15,4875,1.46739,1.24762,1.33723,0.57865,0.52226,0.51404,0.29903,1.56352,1.41401,1.40954,0.00191244,0.00191244,0.00191244
16,5198.17,1.4626,1.25012,1.33391,0.58713,0.51653,0.51099,0.29879,1.54992,1.40801,1.40467,0.00189973,0.00189973,0.00189973
